Step,Speed (m/s),Acceleration (m/s^2),Fuel HBEFA (mg)
917,18.227,1.665,34.378
918,18.24,1.317,29.123
919,18.259,1.878,37.67
920,18.285,2.583,48.44
921,18.307,2.241,43.289
922,18.32,1.32,29.293
923,18.341,2.048,40.427
924,18.364,2.282,44.058
925,18.379,1.561,33.069
926,18.404,2.447,46.672
927,18.429,2.495,47.48
928,18.451,2.288,44.355
929,18.466,1.448,31.497
930,18.487,2.074,41.151
931,18.502,1.565,33.362
932,18.525,2.255,44.032
933,18.545,2.028,40.574
934,18.559,1.355,30.216
935,18.577,1.792,36.994
936,18.593,1.607,34.178
937,18.609,1.641,34.733
938,18.633,2.419,46.824
939,18.647,1.335,30.059
940,18.66,1.341,30.179
941,18.686,2.547,48.946
942,18.708,2.228,44.041
943,18.722,1.45,31.975
944,18.742,1.974,40.174
945,18.757,1.457,32.135
946,18.775,1.834,38.049
947,18.797,2.202,43.851
948,18.812,1.545,33.617
949,18.832,1.921,39.527
950,18.854,2.285,45.291
951,18.875,2.015,41.108
952,18.896,2.15,43.273
953,18.921,2.492,48.714
954,18.939,1.826,38.27
955,18.953,1.329,30.463
956,18.966,1.368,31.105
957,18.989,2.306,45.947
958,19.013,2.365,46.935
959,19.037,2.407,47.667
960,19.056,1.877,39.319
961,19.07,1.414,32.01
962,19.091,2.098,42.89
963,19.116,2.538,49.953
964,19.131,1.497,33.436
965,19.147,1.592,34.973
966,19.168,2.039,42.133
967,19.185,1.718,37.047
968,19.203,1.825,38.797
969,19.229,2.557,50.545
970,19.242,1.3,30.483
971,19.257,1.486,33.483
972,19.277,2.044,42.46
973,19.294,1.708,37.099
974,19.313,1.943,40.921
975,19.339,2.579,51.201
976,19.355,1.601,35.505
977,19.377,2.183,44.925
978,19.391,1.35,31.526
979,19.406,1.496,33.905
980,19.423,1.757,38.148
